"","datetime","city","country","shape"
"41025",2019-04-15,"bakersfield","us",""
"42747",2019-04-22,"bakersfield","us",""
"44437",2019-04-03,"bakersfield","us",""
"44781",2019-04-05,"bakersfield","us",""
"67169",2019-07-28,"bakersfield","us",""
"78333",2019-08-30,"bakersfield","us",""
"79666",2019-08-06,"bakersfield","us",""
"79667",2019-08-06,"bakersfield","us",""
"79671",2019-08-06,"bakersfield","us",""
"79932",2019-08-07,"bakersfield","us",""
"79933",2019-08-07,"bakersfield","us",""
"75646",2020-08-20,"baku (azerbaijan)","",""
"37865",2020-03-29,"baltimore","us",""
"40336",2019-04-12,"baltimore","us",""
"49707",2019-05-28,"baltimore","us",""
"58158",2019-06-28,"baltimore","us",""
"60755",2020-06-09,"baltimore","us",""
"67660",2019-07-30,"baltimore","us",""
"10745",2019-11-16,"bandy","",""
"40145",2020-04-01,"bangalore (india)","",""
"52272",2019-06-01,"bangor","us",""
"52273",2019-06-01,"bangor","us",""
"25253",2020-01-25,"barcelona (spain)","",""
"58575",2019-06-30,"barksdale afb (shreveport)","",""
"25445",2020-01-26,"barnaul (russia)","",""
"25446",2020-01-26,"barnaul (russia)","",""
"40746",2020-04-14,"barnegat","",""
"63892",2020-07-16,"barnoldswick (uk/england)","gb",""
"18828",2020-12-10,"barre","us",""
"79975",2020-08-07,"barrington","us",""
"16521",2020-01-15,"barstow","us",""
"54345",2019-06-15,"barstow","us",""
"25014",2019-01-25,"bartlett","us",""
"11187",2019-11-17,"basking ridge","us",""
"8543",2020-11-10,"bastrop","us",""
"57524",2019-06-25,"batesburg","us",""
"81577",2019-09-01,"batesville","us",""
"34056",2019-03-01,"bath","us",""
"52345",2019-06-01,"bath (uk/england)","gb",""
"21858",2020-01-22,"baton rouge","us",""
"77467",2020-08-26,"baton rouge","us",""
"76828",2019-08-24,"battle creek","us",""
"12115",2019-01-01,"bauxite","us",""
"22109",2020-12-22,"bayville","us",""
"12230",2020-01-01,"beatty (near)","us",""
"20592",2020-12-16,"beaver","us",""
"43131",2019-04-24,"beaver creek","us",""
"3183",2019-10-19,"beaverton","us",""
"5315",2020-10-26,"beaverton","us",""
"8465",2019-11-10,"beaverton","us",""
"15896",2019-01-14,"beaverton","us",""
"66893",2019-07-27,"beaverton","us",""
"71650",2019-08-11,"beaverton","us",""
"75471",2019-08-20,"beaverton","us",""
"81542",2019-09-01,"beaverton","us",""
"36672",2019-03-22,"bedford","us",""
"77226",2020-08-25,"bel air","us",""
"38187",2019-03-31,"belgium","",""
"76977",2020-08-24,"bell","us",""
"12772",2019-11-20,"belle fourche","us",""
"9899",2020-11-13,"belleville","us",""
"38694",2020-03-05,"belleville","us",""
"66891",2019-07-27,"belleville","us",""
"1287",2020-10-12,"bellevue","us",""
"2084",2019-10-15,"bellevue","us",""
"14811",2019-11-28,"bellevue","us",""
"14812",2019-11-28,"bellevue","us",""
"39030",2019-03-07,"bellevue","us",""
"49703",2019-05-28,"bellevue","us",""
"56571",2019-06-02,"bellevue","us",""
"59444",2020-06-03,"bellevue","us",""
"64900",2019-07-20,"bellevue","us",""
"72519",2019-08-12,"bellevue","us",""
"79141",2019-08-04,"bellevue","us",""
"82900",2019-09-15,"bellevue","us",""
"45168",2019-04-07,"bellflower","us",""
"47167",2019-05-15,"bellflower","us",""
"20692",2019-12-17,"bellingham","us",""
"15464",2019-11-03,"belmont","us",""
"67170",2019-07-28,"belmont","us",""
"17265",2019-01-17,"bend","us",""
"47716",2020-05-17,"bend","us",""
"63218",2019-07-15,"benson landing","us",""
"63219",2019-07-15,"benson landing","us",""
"58191",2020-06-28,"berryville","us",""
"79935",2019-08-07,"berthid","",""
"4173",2019-10-22,"bessemer","us",""
"39990",2020-04-11,"bethany","us",""
"36675",2019-03-22,"bethesda","us",""
"77258",2020-08-25,"beverly beach","us",""
"11194",2019-11-17,"biddeford","us",""
"23045",2020-12-26,"big bend park","",""
"11202",2019-11-17,"big flats","us",""
"28750",2019-02-01,"big pine","us",""
"9725",2020-11-12,"big sandy","us",""
"46044",2020-05-11,"big sur","us",""
"56494",2020-06-21,"billerica","us",""
"6296",2019-10-31,"billings","us",""
"28378",2019-02-10,"billings","us",""
"44990",2019-04-06,"billings","us",""
"41928",2019-04-19,"binghamton","us",""
"9822",2019-11-13,"birmingham","us",""
"18953",2019-12-11,"birmingham","us",""
"64606",2019-07-19,"birmingham","us",""
"37164",2020-03-24,"birmingham (uk/england)","gb",""
"74003",2020-08-15,"birmingham (uk/england)","gb",""
"43351",2019-04-25,"bishop","us",""
"40065",2019-04-01,"bishop (south of&#44 hwy 395)","us",""
"14063",2019-11-24,"bismarck","us",""
"46684",2019-05-13,"black hills","",""
"29279",2020-02-13,"black river","us",""
"84363",2019-09-20,"black shear","",""
"76623",2020-08-23,"blackpool (uk/england)","gb",""
"38467",2020-03-03,"blanchester","us",""
"32895",2019-02-06,"bloomington","us",""
"10405",2019-11-15,"blossburg","us",""
"55595",2020-06-18,"blountville","us",""
"60392",2020-06-07,"blue point","us",""
"6274",2019-10-31,"boerne","us",""
"31699",2019-02-25,"boiling springs (outside of&#44 traveling on highway)","us",""
"20037",2019-12-14,"boise","us",""
"39434",2019-03-09,"boise","us",""
"43164",2020-04-24,"boise","us",""
"54640",2019-06-15,"boise","us",""
"78106",2019-08-29,"boise","us",""
"85766",2019-09-24,"boise","us",""
"87926",2019-09-05,"boise","us",""
"35189",2020-03-15,"bokeelia","us",""
"67659",2019-07-30,"bolivia","us",""
"33252",2020-02-08,"bolton (uk/england)","gb",""
"51513",2020-05-09,"bombay (india)","",""
"60902",2019-07-10,"bonanza","us",""
"24288",2019-12-03,"boring","us",""
"66665",2019-07-26,"boring","us",""
"73903",2019-08-15,"bosque","us",""
"40697",2019-04-14,"boston","us",""
"43201",2020-04-24,"boston","us",""
"7467",2020-10-06,"bothell","us",""
"9041",2019-11-01,"bothell","us",""
"25392",2019-12-06,"bothell","us",""
"32179",2019-02-28,"bothell","us",""
"34054",2019-03-01,"bothell","us",""
"57146",2020-06-23,"bothell","us",""
"76340",2019-08-22,"bothell","us",""
"76891",2020-08-24,"bothell","us",""
"77126",2019-08-25,"bothell","us",""
"79149",2019-08-04,"bothell","us",""
"17583",2020-11-07,"boulder","us",""
"45166",2019-04-07,"boulder","us",""
"35589",2019-03-17,"boulder creek","us",""
"30964",2020-02-02,"bouse","us",""
"49034",2019-05-24,"bowie","us",""
"21809",2020-12-02,"bowling green","us",""
"44783",2019-04-05,"boyertown","us",""
"10479",2020-11-15,"boyne city","us",""
"39143",2020-03-07,"bozeman","us",""
"42951",2019-04-23,"bradenton","us",""
"45522",2019-04-09,"bradenton","us",""
"78214",2020-08-29,"bradford (uk/england)","gb",""
"42948",2019-04-23,"brampton (near toronto) (canada)","ca",""
